brand,name,bodyType,seatingCapacity
Volkswagen,Transporter,VAN,9
Volkswagen,Multivan,VAN,7
Ford,Figo,HATCHBACK,5
Ford,Figo Aspire,SEDAN,5
Ford,Aspire,SEDAN,5
Ford,Freestyle,CROSSOVER,5
Ford,Fusion,CROSSOVER,5
Ford,Ikon,SEDAN,5
Ford,Classic,SEDAN,5
Ford,Fiesta,SEDAN,5
Ford,Fiesta Classic,SEDAN,5
Ford,Mondeo,SEDAN,5
Ford,Escort,SEDAN,5
Ford,Ka,HATCHBACK,5
Ford,Puma,SUV,5
Ford,EcoSport,SUV,5
Ford,Endeavour,SUV,7
Ford,Everest,SUV,7
Ford,Territory,SUV,5
Ford,Edge,SUV,5
Ford,Explorer,SUV,7
Ford,Expedition,SUV,8
Ford,Bronco,SUV,5
Ford,Bronco Sport,SUV,5
Ford,Kuga,SUV,5
Ford,Mustang,COUPE,4
Ford,Mustang Mach-E,SUV,5
Ford,Ranger,PICKUP,5
Ford,Ranger Raptor,PICKUP,5
Ford,F-150,PICKUP,5
Ford,F-150 Lightning,PICKUP,5
Ford,Super Duty,PICKUP,5
Ford,E-Series,VAN,12
Ford,Transit,VAN,12
Chevrolet,Spark,HATCHBACK,5
Chevrolet,Beat,HATCHBACK,5
Chevrolet,Sail Hatchback,HATCHBACK,5
Chevrolet,Aveo U-VA,HATCHBACK,5
Chevrolet,Cruze Hatchback,HATCHBACK,5
Chevrolet,Optra Magnum,SEDAN,5
Chevrolet,Optra,SEDAN,5
Chevrolet,Aveo,SEDAN,5
Chevrolet,Sail,SEDAN,5
Chevrolet,Cruze,SEDAN,5
Chevrolet,Malibu,SEDAN,5
Chevrolet,Impala,SEDAN,5
Chevrolet,Cobalt,SEDAN,5
Chevrolet,Prisma,SEDAN,5
Chevrolet,Tavera,MUV,10
Chevrolet,Enjoy,MPV,7
Chevrolet,Captiva,SUV,7
Chevrolet,Trailblazer,SUV,7
Chevrolet,Trax,SUV,5
Chevrolet,Tracker,SUV,5
Chevrolet,Equinox,SUV,5
Chevrolet,Traverse,SUV,8
Chevrolet,Tahoe,SUV,8
Chevrolet,Suburban,SUV,9
Chevrolet,Blazer,SUV,5
Chevrolet,Groove,SUV,5
Chevrolet,Spin,MPV,7
Chevrolet,Orlando,MPV,7
Chevrolet,Colorado,PICKUP,5
Chevrolet,Silverado,PICKUP,5
Chevrolet,Corvette,COUPE,2
Chevrolet,Camaro,COUPE,4
Chevrolet,Bolt EV,HATCHBACK,5
Chevrolet,Menlo,HATCHBACK,5
Chevrolet,Express,VAN,12
Jeep,Compass,SUV,5
Jeep,Meridian,SUV,7
Jeep,Wrangler,SUV,5
Jeep,Grand Cherokee,SUV,5
Jeep,Cherokee,SUV,5
Jeep,Renegade,SUV,5
Jeep,Commander,SUV,7
Jeep,Gladiator,PICKUP,5
Jeep,Patriot,SUV,5
Jeep,Liberty,SUV,5
Jeep,Wagoneer,SUV,8
Jeep,Grand Wagoneer,SUV,8
Citroen,C3,HATCHBACK,5
Citroen,eC3,HATCHBACK,5
Citroen,C3 Aircross,SUV,5
Citroen,Basalt,SUV,5
Citroen,C5 Aircross,SUV,5
Citroen,C4,HATCHBACK,5
Citroen,C4 Cactus,SUV,5
Citroen,C5 X,SEDAN,5
Citroen,Berlingo,VAN,7
Citroen,Spacetourer,VAN,8
BYD,e6,MPV,5
BYD,Atto 3,SUV,5
BYD,Dolphin,HATCHBACK,5
BYD,Seal,SEDAN,5
BYD,Sealion 7,SUV,5
BYD,Tang,SUV,7
BYD,Han,SEDAN,5
BYD,Qin Plus,SEDAN,5
BYD,Yuan Plus,SUV,5
BYD,Song Plus,SUV,5
BYD,Destroyer 05,SEDAN,5
Isuzu,D-Max,PICKUP,5
Isuzu,V-Cross,PICKUP,5
Isuzu,Hi-Lander,PICKUP,5
Isuzu,MU-7,SUV,7
Isuzu,MU-X,SUV,7
Isuzu,Panther,SUV,7
Isuzu,Traviz,PICKUP,2
Force Motors,Gurkha,SUV,4
Force Motors,Gurkha 5 Door,SUV,7
Force Motors,Trax Cruiser,MUV,10
Force Motors,Trax Toofan,MUV,10
Force Motors,Citiline,MUV,10
Force Motors,Traveller,VAN,14
Force Motors,Urbania,VAN,17
Force Motors,One,SUV,5
BMW,1 Series,HATCHBACK,5
BMW,2 Series Gran Coupe,SEDAN,5
BMW,2 Series Active Tourer,MPV,5
BMW,2 Series Coupe,COUPE,4
BMW,2 Series Convertible,CONVERTIBLE,4
BMW,3 Series,SEDAN,5
BMW,3 Series Gran Turismo,SEDAN,5
BMW,4 Series Coupe,COUPE,4
BMW,4 Series Convertible,CONVERTIBLE,4
BMW,4 Series Gran Coupe,SEDAN,5
BMW,5 Series,SEDAN,5
BMW,5 Series Touring,WAGON,5
BMW,6 Series Gran Turismo,SEDAN,5
BMW,6 Series Coupe,COUPE,4
BMW,6 Series Convertible,CONVERTIBLE,4
BMW,7 Series,SEDAN,5
BMW,8 Series Coupe,COUPE,4
BMW,8 Series Convertible,CONVERTIBLE,4
BMW,8 Series Gran Coupe,SEDAN,5
BMW,i3,HATCHBACK,4
BMW,i4,SEDAN,5
BMW,i5,SEDAN,5
BMW,i7,SEDAN,5
BMW,i8,COUPE,2
BMW,iX1,SUV,5
BMW,iX3,SUV,5
BMW,iX,SUV,5
BMW,X1,SUV,5
BMW,X2,SUV,5
BMW,X3,SUV,5
BMW,X3 M,SUV,5
BMW,X4,SUV,5
BMW,X4 M,SUV,5
BMW,X5,SUV,5
BMW,X5 M,SUV,5
BMW,X6,SUV,5
BMW,X6 M,SUV,5
BMW,X7,SUV,7
BMW,XM,SUV,5
BMW,Z4,CONVERTIBLE,2
BMW,M2,COUPE,4
BMW,M3,SEDAN,5
BMW,M4 Coupe,COUPE,4
BMW,M4 Convertible,CONVERTIBLE,4
BMW,M5,SEDAN,5
BMW,M8 Coupe,COUPE,4
BMW,M8 Convertible,CONVERTIBLE,4
BMW,M8 Gran Coupe,SEDAN,5
