brand,model,variant,fuel,transmission,engineCc,hp,torque,launchYear,discontinuedYear,serviceKm,serviceMonths
Maruti Suzuki,S-Presso,Std,PETROL,MANUAL,998,67,90,2019,,10000,12
Maruti Suzuki,S-Presso,LXi,PETROL,MANUAL,998,67,90,2019,,10000,12
Maruti Suzuki,S-Presso,VXi,PETROL,MANUAL,998,67,90,2019,,10000,12
Maruti Suzuki,S-Presso,VXi+,PETROL,MANUAL,998,67,90,2019,,10000,12
Maruti Suzuki,S-Presso,VXi AMT,PETROL,AUTOMATIC,998,67,90,2019,,10000,12
Maruti Suzuki,S-Presso,VXi+ AMT,PETROL,AUTOMATIC,998,67,90,2019,,10000,12
Maruti Suzuki,S-Presso,LXi CNG,CNG,MANUAL,998,57,82,2020,,10000,12
Maruti Suzuki,S-Presso,VXi CNG,CNG,MANUAL,998,57,82,2020,,10000,12

Maruti Suzuki,WagonR,LXi,PETROL,MANUAL,998,67,90,1999,,10000,12
Maruti Suzuki,WagonR,VXi,PETROL,MANUAL,998,67,90,1999,,10000,12
Maruti Suzuki,WagonR,ZXi,PETROL,MANUAL,1197,89,113,2019,,10000,12
Maruti Suzuki,WagonR,ZXi+,PETROL,MANUAL,1197,89,113,2022,,10000,12
Maruti Suzuki,WagonR,VXi AMT,PETROL,AUTOMATIC,998,67,90,2015,,10000,12
Maruti Suzuki,WagonR,ZXi AMT,PETROL,AUTOMATIC,1197,89,113,2019,,10000,12
Maruti Suzuki,WagonR,LXi CNG,CNG,MANUAL,998,57,82,2010,,10000,12
Maruti Suzuki,WagonR,VXi CNG,CNG,MANUAL,998,57,82,2010,,10000,12

Maruti Suzuki,Zen,Std,PETROL,MANUAL,993,58,78,1993,2006,10000,12
Maruti Suzuki,Zen,LX,PETROL,MANUAL,993,58,78,1993,2006,10000,12
Maruti Suzuki,Zen,VX,PETROL,MANUAL,993,58,78,1993,2006,10000,12
Maruti Suzuki,Zen,ZXi,PETROL,MANUAL,1061,64,84,1998,2006,10000,12
Maruti Suzuki,Zen,DXi,DIESEL,MANUAL,1527,57,96,2003,2006,10000,12

Maruti Suzuki,Zen Estilo,LXi,PETROL,MANUAL,1061,64,84,2006,2013,10000,12
Maruti Suzuki,Zen Estilo,VXi,PETROL,MANUAL,1061,64,84,2006,2013,10000,12
Maruti Suzuki,Zen Estilo,SXi,PETROL,MANUAL,1061,64,84,2006,2013,10000,12
Maruti Suzuki,Zen Estilo,LXi BSIV,PETROL,MANUAL,998,67,90,2009,2013,10000,12
Maruti Suzuki,Zen Estilo,VXi BSIV,PETROL,MANUAL,998,67,90,2009,2013,10000,12
Maruti Suzuki,Zen Estilo,LXi CNG,CNG,MANUAL,998,57,82,2010,2013,10000,12

Maruti Suzuki,Ritz,LXi,PETROL,MANUAL,1197,85,113,2009,2017,10000,12
Maruti Suzuki,Ritz,VXi,PETROL,MANUAL,1197,85,113,2009,2017,10000,12
Maruti Suzuki,Ritz,ZXi,PETROL,MANUAL,1197,85,113,2009,2017,10000,12
Maruti Suzuki,Ritz,LDi,DIESEL,MANUAL,1248,75,190,2009,2017,10000,12
Maruti Suzuki,Ritz,VDi,DIESEL,MANUAL,1248,75,190,2009,2017,10000,12
Maruti Suzuki,Ritz,ZDi,DIESEL,MANUAL,1248,75,190,2009,2017,10000,12

Maruti Suzuki,Swift,LXi,PETROL,MANUAL,1197,89,113,2005,,10000,12
Maruti Suzuki,Swift,VXi,PETROL,MANUAL,1197,89,113,2005,,10000,12
Maruti Suzuki,Swift,ZXi,PETROL,MANUAL,1197,89,113,2005,,10000,12
Maruti Suzuki,Swift,ZXi+,PETROL,MANUAL,1197,89,113,2018,,10000,12
Maruti Suzuki,Swift,VXi AMT,PETROL,AUTOMATIC,1197,89,113,2018,,10000,12
Maruti Suzuki,Swift,ZXi AMT,PETROL,AUTOMATIC,1197,89,113,2018,,10000,12
Maruti Suzuki,Swift,ZXi+ AMT,PETROL,AUTOMATIC,1197,89,113,2018,,10000,12
Maruti Suzuki,Swift,LDi,DIESEL,MANUAL,1248,75,190,2007,2020,10000,12
Maruti Suzuki,Swift,VDi,DIESEL,MANUAL,1248,75,190,2007,2020,10000,12
Maruti Suzuki,Swift,ZDi,DIESEL,MANUAL,1248,75,190,2007,2020,10000,12
Maruti Suzuki,Swift,ZDi+,DIESEL,MANUAL,1248,75,190,2011,2020,10000,12

Maruti Suzuki,Baleno,Sigma,PETROL,MANUAL,1197,89,113,2015,,10000,12
Maruti Suzuki,Baleno,Delta,PETROL,MANUAL,1197,89,113,2015,,10000,12
Maruti Suzuki,Baleno,Zeta,PETROL,MANUAL,1197,89,113,2015,,10000,12
Maruti Suzuki,Baleno,Alpha,PETROL,MANUAL,1197,89,113,2015,,10000,12
Maruti Suzuki,Baleno,Delta AMT,PETROL,AUTOMATIC,1197,89,113,2022,,10000,12
Maruti Suzuki,Baleno,Zeta AMT,PETROL,AUTOMATIC,1197,89,113,2022,,10000,12
Maruti Suzuki,Baleno,Alpha AMT,PETROL,AUTOMATIC,1197,89,113,2022,,10000,12
Maruti Suzuki,Baleno,Delta CNG,CNG,MANUAL,1197,77,98,2022,,10000,12
Maruti Suzuki,Baleno,Zeta CNG,CNG,MANUAL,1197,77,98,2022,,10000,12

Maruti Suzuki,Fronx,Sigma,PETROL,MANUAL,1197,89,113,2023,,10000,12
Maruti Suzuki,Fronx,Delta,PETROL,MANUAL,1197,89,113,2023,,10000,12
Maruti Suzuki,Fronx,Delta+,PETROL,MANUAL,1197,89,113,2023,,10000,12
Maruti Suzuki,Fronx,Zeta,PETROL,MANUAL,998,100,148,2023,,10000,12
Maruti Suzuki,Fronx,Alpha,PETROL,MANUAL,998,100,148,2023,,10000,12
Maruti Suzuki,Fronx,Delta AMT,PETROL,AUTOMATIC,1197,89,113,2023,,10000,12
Maruti Suzuki,Fronx,Zeta AT,PETROL,AUTOMATIC,998,100,148,2023,,10000,12
Maruti Suzuki,Fronx,Alpha AT,PETROL,AUTOMATIC,998,100,148,2023,,10000,12
Maruti Suzuki,Fronx,Delta CNG,CNG,MANUAL,1197,77,98,2023,,10000,12
Maruti Suzuki,Fronx,Zeta CNG,CNG,MANUAL,1197,77,98,2023,,10000,12

Maruti Suzuki,Ignis,Sigma,PETROL,MANUAL,1197,83,113,2017,,10000,12
Maruti Suzuki,Ignis,Delta,PETROL,MANUAL,1197,83,113,2017,,10000,12
Maruti Suzuki,Ignis,Zeta,PETROL,MANUAL,1197,83,113,2017,,10000,12
Maruti Suzuki,Ignis,Alpha,PETROL,MANUAL,1197,83,113,2017,,10000,12
Maruti Suzuki,Ignis,Delta AMT,PETROL,AUTOMATIC,1197,83,113,2017,,10000,12
Maruti Suzuki,Ignis,Zeta AMT,PETROL,AUTOMATIC,1197,83,113,2017,,10000,12
Maruti Suzuki,Ignis,Alpha AMT,PETROL,AUTOMATIC,1197,83,113,2017,,10000,12

Maruti Suzuki,Dzire,LXi,PETROL,MANUAL,1197,89,113,2008,,10000,12
Maruti Suzuki,Dzire,VXi,PETROL,MANUAL,1197,89,113,2008,,10000,12
Maruti Suzuki,Dzire,ZXi,PETROL,MANUAL,1197,89,113,2008,,10000,12
Maruti Suzuki,Dzire,ZXi+,PETROL,MANUAL,1197,89,113,2020,,10000,12
Maruti Suzuki,Dzire,VXi AMT,PETROL,AUTOMATIC,1197,89,113,2017,,10000,12
Maruti Suzuki,Dzire,ZXi AMT,PETROL,AUTOMATIC,1197,89,113,2017,,10000,12
Maruti Suzuki,Dzire,ZXi+ AMT,PETROL,AUTOMATIC,1197,89,113,2020,,10000,12
Maruti Suzuki,Dzire,LXi CNG,CNG,MANUAL,1197,77,98,2022,,10000,12
Maruti Suzuki,Dzire,VXi CNG,CNG,MANUAL,1197,77,98,2022,,10000,12
Maruti Suzuki,Dzire,ZXi CNG,CNG,MANUAL,1197,77,98,2024,,10000,12

Maruti Suzuki,Ciaz,Sigma,PETROL,MANUAL,1462,103,138,2014,,10000,12
Maruti Suzuki,Ciaz,Delta,PETROL,MANUAL,1462,103,138,2014,,10000,12
Maruti Suzuki,Ciaz,Zeta,PETROL,MANUAL,1462,103,138,2014,,10000,12
Maruti Suzuki,Ciaz,Alpha,PETROL,MANUAL,1462,103,138,2014,,10000,12
Maruti Suzuki,Ciaz,Delta AT,PETROL,AUTOMATIC,1462,103,138,2015,,10000,12
Maruti Suzuki,Ciaz,Zeta AT,PETROL,AUTOMATIC,1462,103,138,2015,,10000,12
Maruti Suzuki,Ciaz,Alpha AT,PETROL,AUTOMATIC,1462,103,138,2015,,10000,12
Maruti Suzuki,Ciaz,Sigma Smart Hybrid,PETROL,MANUAL,1462,103,138,2018,,10000,12
Maruti Suzuki,Ciaz,Delta Smart Hybrid,PETROL,MANUAL,1462,103,138,2018,,10000,12
Maruti Suzuki,Ciaz,Alpha Smart Hybrid,PETROL,AUTOMATIC,1462,103,138,2018,,10000,12
Maruti Suzuki,Ciaz,DDiS SHVS,DIESEL,MANUAL,1248,89,200,2015,2020,10000,12

Maruti Suzuki,Esteem,LX,PETROL,MANUAL,1298,65,100,1994,2007,10000,12
Maruti Suzuki,Esteem,LXi,PETROL,MANUAL,1298,85,110,1999,2007,10000,12
Maruti Suzuki,Esteem,VXi,PETROL,MANUAL,1298,85,110,1999,2007,10000,12
Maruti Suzuki,Esteem,AX,PETROL,MANUAL,1298,85,110,2002,2007,10000,12

Maruti Suzuki,Kizashi,MT,PETROL,MANUAL,2393,176,230,2011,2014,10000,12
Maruti Suzuki,Kizashi,CVT,PETROL,AUTOMATIC,2393,176,230,2011,2014,10000,12

Maruti Suzuki,SX4,VXi,PETROL,MANUAL,1586,104,145,2007,2014,10000,12
Maruti Suzuki,SX4,ZXi,PETROL,MANUAL,1586,104,145,2007,2014,10000,12
Maruti Suzuki,SX4,ZXi Leather,PETROL,MANUAL,1586,104,145,2010,2014,10000,12
Maruti Suzuki,SX4,VXi AT,PETROL,AUTOMATIC,1586,104,145,2010,2014,10000,12
Maruti Suzuki,SX4,ZXi AT,PETROL,AUTOMATIC,1586,104,145,2010,2014,10000,12
Maruti Suzuki,SX4,VDi,DIESEL,MANUAL,1248,89,200,2011,2014,10000,12
Maruti Suzuki,SX4,ZDi,DIESEL,MANUAL,1248,89,200,2011,2014,10000,12

Maruti Suzuki,Brezza,LXi,PETROL,MANUAL,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,VXi,PETROL,MANUAL,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,ZXi,PETROL,MANUAL,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,ZXi+,PETROL,MANUAL,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,VXi AT,PETROL,AUTOMATIC,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,ZXi AT,PETROL,AUTOMATIC,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,ZXi+ AT,PETROL,AUTOMATIC,1462,103,138,2022,,10000,12
Maruti Suzuki,Brezza,LXi CNG,CNG,MANUAL,1462,88,121,2023,,10000,12
Maruti Suzuki,Brezza,VXi CNG,CNG,MANUAL,1462,88,121,2023,,10000,12
Maruti Suzuki,Brezza,ZXi CNG,CNG,MANUAL,1462,88,121,2023,,10000,12

Maruti Suzuki,Vitara Brezza,LDi,DIESEL,MANUAL,1248,89,200,2016,2022,10000,12
Maruti Suzuki,Vitara Brezza,VDi,DIESEL,MANUAL,1248,89,200,2016,2022,10000,12
Maruti Suzuki,Vitara Brezza,ZDi,DIESEL,MANUAL,1248,89,200,2016,2022,10000,12
Maruti Suzuki,Vitara Brezza,ZDi+,DIESEL,MANUAL,1248,89,200,2016,2022,10000,12
Maruti Suzuki,Vitara Brezza,VXi,PETROL,MANUAL,1462,103,138,2020,2022,10000,12
Maruti Suzuki,Vitara Brezza,ZXi,PETROL,MANUAL,1462,103,138,2020,2022,10000,12
Maruti Suzuki,Vitara Brezza,ZXi+,PETROL,MANUAL,1462,103,138,2020,2022,10000,12
Maruti Suzuki,Vitara Brezza,VXi AT,PETROL,AUTOMATIC,1462,103,138,2020,2022,10000,12
Maruti Suzuki,Vitara Brezza,ZXi AT,PETROL,AUTOMATIC,1462,103,138,2020,2022,10000,12
Maruti Suzuki,Vitara Brezza,ZXi+ AT,PETROL,AUTOMATIC,1462,103,138,2020,2022,10000,12

Maruti Suzuki,Grand Vitara,Sigma Smart Hybrid,PETROL,MANUAL,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Delta Smart Hybrid,PETROL,MANUAL,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Zeta Smart Hybrid,PETROL,MANUAL,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Alpha Smart Hybrid,PETROL,MANUAL,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Delta AT Smart Hybrid,PETROL,AUTOMATIC,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Zeta AT Smart Hybrid,PETROL,AUTOMATIC,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Alpha AT Smart Hybrid,PETROL,AUTOMATIC,1462,103,137,2022,,10000,12
Maruti Suzuki,Grand Vitara,Zeta Strong Hybrid,HYBRID,AUTOMATIC,1490,114,122,2022,,10000,12
Maruti Suzuki,Grand Vitara,Alpha Strong Hybrid,HYBRID,AUTOMATIC,1490,114,122,2022,,10000,12
Maruti Suzuki,Grand Vitara,Alpha AWD,PETROL,MANUAL,1462,103,137,2022,,10000,12

Maruti Suzuki,Gypsy,Soft Top,PETROL,MANUAL,1298,80,103,1985,2019,10000,12
Maruti Suzuki,Gypsy,Hard Top,PETROL,MANUAL,1298,80,103,1985,2019,10000,12
Maruti Suzuki,Gypsy,King Soft Top,PETROL,MANUAL,1298,80,103,1996,2019,10000,12
Maruti Suzuki,Gypsy,King Hard Top,PETROL,MANUAL,1298,80,103,1996,2019,10000,12

Maruti Suzuki,Jimny,Zeta,PETROL,MANUAL,1462,103,134,2023,,10000,12
Maruti Suzuki,Jimny,Alpha,PETROL,MANUAL,1462,103,134,2023,,10000,12
Maruti Suzuki,Jimny,Zeta AT,PETROL,AUTOMATIC,1462,103,134,2023,,10000,12
Maruti Suzuki,Jimny,Alpha AT,PETROL,AUTOMATIC,1462,103,134,2023,,10000,12

Maruti Suzuki,Ertiga,LXi,PETROL,MANUAL,1462,103,137,2012,,10000,12
Maruti Suzuki,Ertiga,VXi,PETROL,MANUAL,1462,103,137,2012,,10000,12
Maruti Suzuki,Ertiga,ZXi,PETROL,MANUAL,1462,103,137,2012,,10000,12
Maruti Suzuki,Ertiga,ZXi+,PETROL,MANUAL,1462,103,137,2019,,10000,12
Maruti Suzuki,Ertiga,VXi AT,PETROL,AUTOMATIC,1462,103,137,2019,,10000,12
Maruti Suzuki,Ertiga,ZXi AT,PETROL,AUTOMATIC,1462,103,137,2019,,10000,12
Maruti Suzuki,Ertiga,ZXi+ AT,PETROL,AUTOMATIC,1462,103,137,2019,,10000,12
Maruti Suzuki,Ertiga,VXi CNG,CNG,MANUAL,1462,88,121,2022,,10000,12
Maruti Suzuki,Ertiga,ZXi CNG,CNG,MANUAL,1462,88,121,2022,,10000,12

Maruti Suzuki,XL6,Zeta,PETROL,MANUAL,1462,103,137,2019,,10000,12
Maruti Suzuki,XL6,Alpha,PETROL,MANUAL,1462,103,137,2019,,10000,12
Maruti Suzuki,XL6,Zeta AT,PETROL,AUTOMATIC,1462,103,137,2019,,10000,12
Maruti Suzuki,XL6,Alpha AT,PETROL,AUTOMATIC,1462,103,137,2019,,10000,12
Maruti Suzuki,XL6,Zeta CNG,CNG,MANUAL,1462,88,121,2022,,10000,12

Maruti Suzuki,Invicto,Zeta Plus 7STR,HYBRID,AUTOMATIC,1987,183,206,2023,,10000,12
Maruti Suzuki,Invicto,Zeta Plus 8STR,HYBRID,AUTOMATIC,1987,183,206,2023,,10000,12
Maruti Suzuki,Invicto,Alpha Plus 7STR,HYBRID,AUTOMATIC,1987,183,206,2023,,10000,12

Maruti Suzuki,Eeco,5 Seater Std,PETROL,MANUAL,1197,80,104,2010,,10000,12
Maruti Suzuki,Eeco,5 Seater AC,PETROL,MANUAL,1197,80,104,2010,,10000,12
Maruti Suzuki,Eeco,7 Seater Std,PETROL,MANUAL,1197,80,104,2010,,10000,12
Maruti Suzuki,Eeco,7 Seater AC,PETROL,MANUAL,1197,80,104,2010,,10000,12
Maruti Suzuki,Eeco,5 Seater CNG,CNG,MANUAL,1197,71,95,2022,,10000,12
Maruti Suzuki,Eeco,Cargo Petrol,PETROL,MANUAL,1197,80,104,2010,,10000,12
Maruti Suzuki,Eeco,Cargo CNG,CNG,MANUAL,1197,71,95,2022,,10000,12

Maruti Suzuki,Eeco Cargo,STD,PETROL,MANUAL,1197,80,104,2010,,10000,12
Maruti Suzuki,Eeco Cargo,CNG,CNG,MANUAL,1197,71,95,2022,,10000,12

Maruti Suzuki,Omni,Cargo,PETROL,MANUAL,796,35,59,1984,2019,10000,12
Maruti Suzuki,Omni,5 Seater,PETROL,MANUAL,796,35,59,1984,2019,10000,12
Maruti Suzuki,Omni,8 Seater,PETROL,MANUAL,796,35,59,1984,2019,10000,12
Maruti Suzuki,Omni,Ambulance,PETROL,MANUAL,796,35,59,1995,2019,10000,12

Maruti Suzuki,Versa,DX,PETROL,MANUAL,1298,82,110,2001,2010,10000,12
Maruti Suzuki,Versa,DX2,PETROL,MANUAL,1298,82,110,2001,2010,10000,12
Maruti Suzuki,Versa,STD,PETROL,MANUAL,1298,82,110,2001,2010,10000,12
Maruti Suzuki,Versa,LX,PETROL,MANUAL,1298,82,110,2001,2010,10000,12

Hyundai,Santro,LE,PETROL,MANUAL,999,55,82,1998,2003,10000,12
Hyundai,Santro,LP,PETROL,MANUAL,999,55,82,1998,2003,10000,12
Hyundai,Santro,LS,PETROL,MANUAL,999,55,82,1998,2003,10000,12
Hyundai,Santro,GLS,PETROL,MANUAL,999,55,82,1998,2003,10000,12
Hyundai,Santro,ZipDrive,PETROL,MANUAL,1086,63,96,2001,2003,10000,12
Hyundai,Santro,ZipPlus,PETROL,MANUAL,1086,63,96,2001,2003,10000,12

Hyundai,Santro Xing,XG,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,GL,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,GL Plus,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,XO,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,XL,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,XS,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,XP,PETROL,MANUAL,1086,63,96,2003,2014,10000,12
Hyundai,Santro Xing,GLS LPG,LPG,MANUAL,1086,60,89,2008,2014,10000,12
Hyundai,Santro Xing,XO CNG,CNG,MANUAL,1086,53,84,2010,2014,10000,12

Hyundai,Eon,D-Lite,PETROL,MANUAL,814,55,75,2011,2019,10000,12
Hyundai,Eon,D-Lite+,PETROL,MANUAL,814,55,75,2011,2019,10000,12
Hyundai,Eon,Era+,PETROL,MANUAL,814,55,75,2011,2019,10000,12
Hyundai,Eon,Magna,PETROL,MANUAL,814,55,75,2011,2019,10000,12
Hyundai,Eon,Sportz,PETROL,MANUAL,814,55,75,2011,2019,10000,12
Hyundai,Eon,Magna 1.0,PETROL,MANUAL,998,68,94,2014,2019,10000,12
Hyundai,Eon,Sportz 1.0,PETROL,MANUAL,998,68,94,2014,2019,10000,12

Hyundai,i10,D-Lite,PETROL,MANUAL,1086,66,99,2007,2013,10000,12
Hyundai,i10,Era,PETROL,MANUAL,1086,66,99,2007,2013,10000,12
Hyundai,i10,Magna,PETROL,MANUAL,1086,66,99,2007,2013,10000,12
Hyundai,i10,Sportz,PETROL,MANUAL,1086,66,99,2007,2013,10000,12
Hyundai,i10,Asta,PETROL,MANUAL,1197,79,111,2008,2013,10000,12
Hyundai,i10,Sportz AT,PETROL,AUTOMATIC,1197,79,111,2009,2013,10000,12
Hyundai,i10,Asta AT,PETROL,AUTOMATIC,1197,79,111,2009,2013,10000,12
Hyundai,i10,Era Diesel,DIESEL,MANUAL,1120,71,160,2011,2013,10000,12
Hyundai,i10,Magna Diesel,DIESEL,MANUAL,1120,71,160,2011,2013,10000,12
Hyundai,i10,Sportz Diesel,DIESEL,MANUAL,1120,71,160,2011,2013,10000,12

Hyundai,Grand i10,Era,PETROL,MANUAL,1197,82,114,2013,2019,10000,12
Hyundai,Grand i10,Magna,PETROL,MANUAL,1197,82,114,2013,2019,10000,12
Hyundai,Grand i10,Sportz,PETROL,MANUAL,1197,82,114,2013,2019,10000,12
Hyundai,Grand i10,Asta,PETROL,MANUAL,1197,82,114,2013,2019,10000,12
Hyundai,Grand i10,Sportz AT,PETROL,AUTOMATIC,1197,82,114,2014,2019,10000,12
Hyundai,Grand i10,Asta AT,PETROL,AUTOMATIC,1197,82,114,2014,2019,10000,12
Hyundai,Grand i10,Era Diesel,DIESEL,MANUAL,1120,74,190,2013,2019,10000,12
Hyundai,Grand i10,Magna Diesel,DIESEL,MANUAL,1120,74,190,2013,2019,10000,12
Hyundai,Grand i10,Sportz Diesel,DIESEL,MANUAL,1120,74,190,2013,2019,10000,12
Hyundai,Grand i10,Asta Diesel,DIESEL,MANUAL,1120,74,190,2013,2019,10000,12

Hyundai,Grand i10 Nios,Era,PETROL,MANUAL,1197,82,114,2019,,10000,12
Hyundai,Grand i10 Nios,Magna,PETROL,MANUAL,1197,82,114,2019,,10000,12
Hyundai,Grand i10 Nios,Sportz,PETROL,MANUAL,1197,82,114,2019,,10000,12
Hyundai,Grand i10 Nios,Asta,PETROL,MANUAL,1197,82,114,2019,,10000,12
Hyundai,Grand i10 Nios,Sportz AMT,PETROL,AUTOMATIC,1197,82,114,2019,,10000,12
Hyundai,Grand i10 Nios,Asta AMT,PETROL,AUTOMATIC,1197,82,114,2019,,10000,12
Hyundai,Grand i10 Nios,Magna CNG,CNG,MANUAL,1197,69,95,2020,,10000,12
Hyundai,Grand i10 Nios,Sportz CNG,CNG,MANUAL,1197,69,95,2020,,10000,12
Hyundai,Grand i10 Nios,Era Diesel,DIESEL,MANUAL,1186,74,190,2019,2023,10000,12
Hyundai,Grand i10 Nios,Sportz Diesel,DIESEL,MANUAL,1186,74,190,2019,2023,10000,12

Hyundai,i20,Era,PETROL,MANUAL,1197,83,115,2008,2012,10000,12
Hyundai,i20,Magna,PETROL,MANUAL,1197,83,115,2008,2012,10000,12
Hyundai,i20,Sportz,PETROL,MANUAL,1197,83,115,2008,2012,10000,12
Hyundai,i20,Asta,PETROL,MANUAL,1197,83,115,2008,2012,10000,12
Hyundai,i20,Asta (O),PETROL,MANUAL,1197,83,115,2010,2012,10000,12
Hyundai,i20,Sportz AT,PETROL,AUTOMATIC,1396,100,136,2009,2012,10000,12
Hyundai,i20,Asta AT,PETROL,AUTOMATIC,1396,100,136,2009,2012,10000,12
Hyundai,i20,Magna Diesel,DIESEL,MANUAL,1396,89,220,2009,2012,10000,12
Hyundai,i20,Sportz Diesel,DIESEL,MANUAL,1396,89,220,2009,2012,10000,12
Hyundai,i20,Asta Diesel,DIESEL,MANUAL,1396,89,220,2009,2012,10000,12

Hyundai,Elite i20,Era,PETROL,MANUAL,1197,83,115,2014,2020,10000,12
Hyundai,Elite i20,Magna,PETROL,MANUAL,1197,83,115,2014,2020,10000,12
Hyundai,Elite i20,Sportz,PETROL,MANUAL,1197,83,115,2014,2020,10000,12
Hyundai,Elite i20,Asta,PETROL,MANUAL,1197,83,115,2014,2020,10000,12
Hyundai,Elite i20,Asta (O),PETROL,MANUAL,1197,83,115,2018,2020,10000,12
Hyundai,Elite i20,Sportz CVT,PETROL,AUTOMATIC,1197,83,115,2018,2020,10000,12
Hyundai,Elite i20,Asta CVT,PETROL,AUTOMATIC,1197,83,115,2018,2020,10000,12
Hyundai,Elite i20,Magna Diesel,DIESEL,MANUAL,1396,90,220,2014,2020,10000,12
Hyundai,Elite i20,Sportz Diesel,DIESEL,MANUAL,1396,90,220,2014,2020,10000,12
